S. No,Song
1,(I Can't Get No) Satisfaction - The Rolling Stones.mp3
2,15 Step - Radiohead.mp3
3,1979 - The Smashing Pumpkins.mp3
4,21 Guns - Green Day.mp3
5,46 & 2 - Tool.mp3
6,A Beautiful Lie - 30 Seconds To Mars.mp3
7,A Hard Day's Night - Re Beatles.mp3
8,A Kind Of Magic - Queen.mp3
9,About A Girl - Nirvana.mp3
10,Ace of Spades - Motörhead.mp3
11,Aerials - System Of A Down.mp3
12,Africa - Toto.mp3
13,Africa Rising - Anaetoh Peter.mp3
14,Alive - Pearl Jam.mp3
15,All Along The Watchtower - The Jimi Hendrix Experience.mp3
16,All Apologies - Nirvana.mp3
17,All Day and All of the Night - The Kinks.mp3
18,All I Need - Radiohead.mp3
19,All My Life - Foo Fighters.mp3
20,All Over You - Live.mp3
21,All Right Now - Free.mp3
22,All Star - Smash Mouth.mp3
23,All Summer Long - Kid Rock.mp3
24,All The Small Things - blink-182.mp3
25,All These Things That I've Done - The Killers.mp3
26,All You Need Is Love - All You Need is Love.mp3
27,Always - Bon Jovi.mp3
28,Amazing - Aerosmith.mp3
29,American Woman - Lenny Kravitz.mp3
30,Angie - The Rolling Stones.mp3
31,Anna Molly - Incubus.mp3
32,Another One Bites The Dust - Queen.mp3
33,Aqualung - Jethro Tull.mp3
34,Are You Gonna Be My Girl - Jet.mp3
35,Are You Gonna Go My Way - Lenny Kravitz.mp3
36,Around the World - Red Hot Chili Peppers.mp3
37,Attack - Thirty Seconds To Mars.mp3
38,Away from here - Jomisee.mp3
39,Away From The Sun - 3 Doors Down.mp3
40,B.Y.O.B. - System Of A Down.mp3
41,Baba O'Riley - The Who.mp3
42,Babe I'm Gonna Leave You - Led Zeppelin.mp3
43,Babu Dee - Mapete Sweet.mp3
44,Back In Black - AC_DC.mp3
45,Bad Moon Rising - Creedence Clearwater Revival.mp3
46,Ball rooms of Mars - Craig Guerrieri_.mp3
47,Banquet - Bloc Party.mp3
48,Barracuda - Heart.mp3
49,Basket Case - Green Day.mp3
50,Battle Flag - Lo Fidelity Allstars.mp3
51,Be Yourself - Audioslave.mp3
52,Beat It - Michael Jackson.mp3
53,Beautiful Day - U2.mp3
54,Because the Night - Patti Smith.mp3
55,Bed Of Roses - Bon Jovi.mp3
56,Beds Are Burning - Midnight Oil.mp3
57,Been Caught Stealing - Jane's Addiction.mp3
58,Behind Blue Eyes - Limp Bizkit.mp3
59,Believe - Simich.mp3
60,Best of You - Foo Fighters.mp3
61,Better Than Me - Hinder.mp3
62,Bicycle Race - Queen.mp3
63,Bitter Sweet Symphony - The Verve.mp3
64,Bittersweet Symphony - The Verve.mp3
65,Black - Pearl Jam.mp3
66,Black Dog - Led Zeppelin.mp3
67,Black Hole Sun - Soundgarden.mp3
68,Black Velvet - Alannah Myles.mp3
69,Bleed It Out - Linkin Park.mp3
70,Bliss - Muse.mp3
71,Blue Orchid - The White Stripes.mp3
72,Blurry - Puddle Of Mudd.mp3
73,Bodysnatchers - Radiohead.mp3
74,Bohemian Like You - The Dandy Warhols.mp3
75,Bones - The Killers.mp3
76,Born in the U.S.A. - Bruce Springsteen.mp3
77,Born To Be Wild - Steppenwolf.mp3
78,Born To Run - Bruce Springsteen.mp3
79,Boulevard of Broken Dreams - Green Day.mp3
80,Bound For The Floor - Local H.mp3
81,Boys Don't Cry - The Cure.mp3
82,Break on Through (To the Other Side) - The Doors.mp3
83,Break On Through - The Doors.mp3
84,Breaking the Habit - Linkin Park.mp3
85,Breath - Breaking Benjamin.mp3
86,Breathe Dont Detonate - Matt Warren.mp3
87,Breed - Nirvana.mp3
88,Bring Me To Life - Evanescence.mp3
89,Brothers In Arms - Dire Straits.mp3
90,Brown Eyed Girl - VAN MORRISON.mp3
91,Brown Sugar - The Rolling Stones.mp3
92,Buddy Holly - Weezer.mp3
93,Bullet with Butterfly Wings - Smashing Pumpkins.mp3
94,Bullet With Butterfly Wings - The Smashing Pumpkins.mp3
95,Bulls On Parade - Rage Against The Machine.mp3
96,Butterfly - Crazy Town.mp3
97,By the Way - Red Hot Chili Peppers.mp3
98,California Dreamin' - The Mamas & The Papas.mp3
99,Californication - Red Hot Chili Peppers.mp3
100,Call Me When You're Sober - Evanescence.mp3
101,Can't Buy Me Love - The Silver Beetles.mp3
102,Carry On Wayward Son - Kansas.mp3
103,Celebrity Skin - Hole.mp3
104,Champagne Supernova - Ohasis.mp3
105,Changes - David Bowie.mp3
106,Chasing Cars - Snow Patrol.mp3
107,Chelsea Dagger - The Fratellis.mp3
108,Cherub Rock - Smashing Pumpkins.mp3
109,Chop Suey! - System Of A Down.mp3
110,City Of Blinding Lights - U2.mp3
111,Civil War - Guns N' Roses.mp3
112,Clint Eastwood - Gorillaz.mp3
113,Clocks - Coldplay.mp3
114,Closer - Kings Of Leon.mp3
115,Closer - Nine Inch Nails.mp3
